name,cname,symbol
"Apple, Inc.",苹果公司,AAPL
Microsoft Corp.,微软公司,MSFT
"Alphabet, Inc.",谷歌,GOOG
"Alphabet, Inc.",谷歌A类股,GOOGL
"Amazon.com, Inc.",亚马逊公司,AMZN
NVIDIA Corp.,英伟达公司,NVDA
"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦,BRK.A
"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦B,BRK.B
"Tesla, Inc.",特斯拉,TSLA
"Meta Platforms, Inc.","Meta Platforms, Inc.",META
Eli Lilly & Co.,礼来公司,LLY
"Visa, Inc.",维萨卡公司,V
"UnitedHealth Group, Inc.",美国联合健康集团,UNH
Exxon Mobil Corp.,埃克森美孚公司,XOM
"Taiwan Semiconductor Manufacturing Co., Ltd.",台湾积体电路制造公司,TSM
"Walmart, Inc.",沃尔玛公司,WMT
JPMorgan Chase & Co.,摩根大通公司,JPM
Johnson & Johnson,强生公司,JNJ
Novo Nordisk A/S,诺和诺德公司,NVO
"Mastercard, Inc.",万事达卡公司,MA
Vanguard Total International Stock ETF,领航 国际股票 ETF,VXUS
Procter & Gamble Co.,宝洁公司,PG
Broadcom Inc.,博通,AVGO
Chevron Corp.,雪佛龙公司,CVX
"The Home Depot, Inc.",家得宝公司,HD
Oracle Corp.,甲骨文公司,ORCL
"AbbVie, Inc.",艾伯维公司,ABBV
"Merck & Co., Inc.",默沙东集团,MRK
Toyota Motor Corp.,丰田汽车公司,TM
Costco Wholesale Corp.,开市客公司,COST
The Coca-Cola Co.,可口可乐公司,KO
"PepsiCo, Inc.",百事可乐公司,PEP
"Adobe, Inc.",Adobe,ADBE
ASML Holding NV,阿斯麦公司,ASML
Alibaba Group Holding Ltd.,阿里巴巴,BABA
Bank of America Corp.,美国银行公司,BAC
Shell Plc,Shell Plc,SHEL
"Cisco Systems, Inc.",思科系统公司,CSCO
AstraZeneca PLC,阿斯利康公司,AZN
Novartis AG,诺华公司,NVS
"Salesforce, Inc.",赛富时公司,CRM
Accenture Plc,埃森哲公司,ACN
McDonald's Corp.,麦当劳公司,MCD
"Thermo Fisher Scientific, Inc.",赛默飞世尔科技公司,TMO
Shell Plc,荷兰皇家壳牌石油公司,RDS.A
Pfizer Inc.,辉瑞制药公司,PFE
Danaher Corp.,丹纳赫公司,DHR
Comcast Corp.,康卡斯特公司,CMCSA
Linde Plc,Linde Plc,LIN
"Netflix, Inc.",奈飞公司,NFLX
Abbott Laboratories,雅培公司,ABT
"T-Mobile US, Inc.","T-Mobile US, Inc.",TMUS
SAP SE,SAP,SAP
TotalEnergies SE,TotalEnergies SE,TTE
"Advanced Micro Devices, Inc.",美国超微公司,AMD
HSBC Holdings Plc,汇丰控股公司,HSBC
Wells Fargo & Co.,富国银行,WFC
Vanguard Growth Index Fund,成长股指数ETF-Vanguard MSCI,VUG
The Walt Disney Co.,沃特迪士尼公司,DIS
HDFC Bank Ltd.,HDFC银行,HDB
Texas Instruments Incorporated,德州仪器公司,TXN
"Philip Morris International, Inc.",菲利普莫里斯国际公司,PM
ConocoPhillips,康菲石油公司,COP
Intel Corp.,英特尔公司,INTC
"Amgen, Inc.",安进公司,AMGN
"Intuit, Inc.",财捷集团,INTU
BHP Group Ltd.,必和必拓,BHP
"Caterpillar, Inc.",卡特彼勒公司,CAT
"Verizon Communications, Inc.",威讯通信公司,VZ
"NIKE, Inc.",耐克公司,NKE
Vanguard Mid-Cap Index Fund,领航 中盘股 ETF,VO
Morgan Stanley,摩根士丹利,MS
Sanofi,赛诺菲-安万特公司,SNY
"NextEra Energy, Inc.",新纪元能源公司,NEE
International Business Machines Corp.,IBM(国际商业机器有限公司),IBM
"United Parcel Service, Inc.",联合包裹服务公司,UPS
Coca-Cola FEMSA SAB de CV,可口可乐凡萨瓶装,KOF
"PDD Holdings, Inc.",拼多多公司,PDD
"Honeywell International, Inc.",霍尼韦尔国际公司,HON
Union Pacific Corp.,联合太平洋公司,UNP
TotalEnergies SE,道达尔公司,TOT
Unilever Plc,联合利华PLC,UL
Royal Bank of Canada,加拿大皇家银行,RY
Bristol Myers Squibb Co.,百时美施贵宝公司,BMY
"QUALCOMM, Inc.",高通公司,QCOM
"Lowe's Cos., Inc.",劳氏公司,LOW
General Electric Co.,通用电气公司,GE
iPath Series B Bloomberg Energy Subindex Total Return ETN,iPath Series B Bloomberg Energy Subindex Total Return ETN,JJEB
The Boeing Co.,波音公司,BA
"S&P Global, Inc.",标普全球,SPGI
"Anthem, Inc.","Anthem, Inc.",ANTM
"ServiceNow, Inc.",现在服务公司,NOW
"Applied Materials, Inc.",应用材料公司,AMAT
American Express Co.,美国运通公司,AXP
iPath Series B Bloomberg Livestock Subindex Total Return ETN,iPath Series B Bloomberg Livestock Subindex Total Return ETN,COWB
iPath Series B Bloomberg Tin Subindex Total Return ETN,iPath Series B Bloomberg Tin Subindex Total Return ETN,JJTB
iPath Series B Bloomberg Cotton Subindex Total Return ETN,iPath Series B Bloomberg Cotton Subindex Total Return ETN,BALB
The Toronto-Dominion Bank,道明银行,TD
BP Plc,英国石油公司,BP
iPath Series B Bloomberg Grains Subindex Total Return ETN,iPath Series B Bloomberg Grains Subindex Total Return ETN,JJGB
Deere & Co.,迪尔股份有限公司,DE
"Booking Holdings, Inc.",缤客,BKNG
Anheuser-Busch InBev SA/NV,百威英博公司,BUD
Stryker Corp.,史赛克公司,SYK
"The Goldman Sachs Group, Inc.",高盛集团,GS
Vanguard Small-Cap ETF,小型股指数ETF-Vanguard MSCI,VB
"AT&T, Inc.",美国电话电报公司,T
iPath Series B Bloomberg Agriculture Subindex Total Return ETN,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,JJAB
iPath Series B Bloomberg Nickel Subindex Total Return ETN,iPath Series B Bloomberg Nickel Subindex Total Return ETN,BJJN
"Elevance Health, Inc.","Elevance Health, Inc.",ELV
