Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,$141.20,-2.00,-1.397%,41775442590.00,United States,1999,1521953,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock ,$46.45,-1.51,-3.148%,8220214277.00,,2016,4380738,Industrials,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,$10.22,-0.01,-0.098%,1277500000.00,,2021,41195,Finance,Blank Checks
AACG,ATA Creativity Global American Depositary Shares,$1.87,-0.08,-4.103%,58674840.00,China,2008,57549,Consumer Discretionary,Service to the Health Industry
AACI,Armada Acquisition Corp. I Common Stock,$10.03,0.00,0.00%,207716285.00,United States,2021,177564,Industrials,Consumer Electronics/Appliances
AACIU,Armada Acquisition Corp. I Unit,$10.45,0.00,0.00%,0.00,United States,2021,1,Industrials,Consumer Electronics/Appliances
AACIW,Armada Acquisition Corp. I Warrant,$0.10,-0.0001,-0.10%,0.00,United States,2021,1029,Industrials,Consumer Electronics/Appliances
AADI,Aadi Bioscience Inc. Common Stock,$10.71,-0.36,-3.252%,261271703.00,United States,,152784,Health Care,Biotechnology: Pharmaceutical Preparations
AAIC,Arlington Asset Investment Corp Class A (new),$3.03,-0.01,-0.329%,85951034.00,United States,,73197,Real Estate,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,$19.05,0.00,0.00%,,United States,,65,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,$23.40,0.40,1.739%,,United States,,1103,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,$23.2871,0.00,0.00%,0.00,United States,,1,Finance,Finance/Investors Services
AAL,American Airlines Group Inc. Common Stock,$15.56,-0.31,-1.953%,10123996693.00,United States,,20453480,Consumer Discretionary,Air Freight/Delivery Services
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,$24.57,-0.1017,-0.412%,,United States,,7620,,
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,$24.59,-0.11,-0.445%,,United States,,10589,,
AAMC,Altisource Asset Management Corp Com,$41.40,-0.03,-0.072%,73576287.00,United States,,8437,Finance,Investment Managers
AAME,Atlantic American Corporation Common Stock,$2.40,0.02,0.84%,48881350.00,United States,,1119,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,$14.13,-0.02,-0.141%,434928154.00,,2020,281781,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,$2.61,-0.43,-14.145%,74704840.00,United States,2013,328419,Technology,Semiconductors
AAON,AAON Inc. Common Stock,$81.47,1.10,1.369%,4334166279.00,United States,,244964,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,$138.85,-3.16,-2.225%,8227378467.00,United States,,2079133,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,$146.71,-2.69,-1.801%,2543561151400.00,United States,1980,55302137,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,$25.47,-0.34,-1.317%,1546483257.00,United States,2011,239463,Real Estate,Real Estate Investment Trusts
AAU,Almaden Minerals Ltd. Common Shares,$0.2109,-0.0091,-4.136%,28939995.00,Canada,2015,91562,,
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$101.75,-0.03,-0.029%,2886057147.00,United States,,435398,Consumer Discretionary,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,$39.23,-0.30,-0.759%,4464417035.00,United States,,165992,Finance,Investment Managers
ABB,ABB Ltd Common Stock,$33.16,-0.63,-1.864%,61843400000.00,Switzerland,,1039213,Energy,Electrical Products
ABBV,AbbVie Inc. Common Stock,$152.71,0.64,0.421%,270205069571.00,United States,2012,5620269,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,$158.57,-0.93,-0.583%,32072080871.00,United States,,1101172,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,$48.02,-0.27,-0.559%,3331101781.00,United States,1994,276136,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,$8.37,-0.14,-1.645%,2394660574.00,Canada,2020,2234045,Health Care,Pharmaceuticals and Biotechnology
ABCM,Abcam plc American Depositary Shares,$14.26,-0.02,-0.14%,3269417394.00,United Kingdom,2020,324714,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,$2.25,-0.05,-2.174%,38645548.00,United States,,159067,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.55,-0.03,-1.163%,40141423462.00,,2013,32153719,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,$221.24,-8.15,-3.553%,4896717531.00,United States,2002,248334,Consumer Discretionary,Other Specialty Stores
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,$10.195,0.00,0.00%,197095347.00,United States,2021,11,Finance,Blank Checks
ABIO,ARCA biopharma Inc. Common Stock,$2.09,-0.01,-0.476%,30117199.00,United States,,9763,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated Common Stock,$48.82,0.03,0.061%,3226863595.00,United States,,319294,Consumer Discretionary,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,$122.78,-2.74,-2.183%,73225870079.00,United States,2020,5110422,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,$5.24,-0.04,-0.758%,214448488.00,United States,2021,27890,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,$15.28,-0.08,-0.521%,2747628850.00,United States,2004,1980545,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,$20.17,-0.30,-1.466%,,United States,,6235,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,$20.0699,-0.0701,-0.348%,,United States,,2988,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,$21.11,0.00,0.00%,,United States,,10943,,
ABSI,Absci Corporation Common Stock,$2.24,-0.09,-3.863%,206964596.00,United States,2021,592356,Health Care,Biotechnology: Pharmaceutical Preparations
ABST,Absolute Software Corporation Common Stock,$8.66,-0.22,-2.477%,456184500.00,Canada,2020,44420,,
ABT,Abbott Laboratories Common Stock,$100.46,-2.09,-2.038%,174594078567.00,United States,,5476528,Health Care,Medical/Dental Instruments
ABUS,Arbutus Biopharma Corporation Common Stock,$2.65,-0.09,-3.285%,417375000.00,Canada,,849521,Health Care,Pharmaceuticals and Biotechnology
ABVC,ABVC BioPharma Inc. Common Stock,$0.695,-0.0351,-4.808%,22679469.00,United States,,343461,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,$36.16,0.01,0.028%,795149505.00,United States,2015,3857,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,$62.91,5.41,9.409%,3041980588.00,,2018,539445,Industrials,Engineering & Construction
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,$10.32,0.02,0.194%,387000000.00,United States,2022,506,Industrials,Consumer Electronics/Appliances
ACABU,Atlantic Coastal Acquisition Corp. II Unit,$10.38,0.00,0.00%,0.00,United States,2022,2,Industrials,Consumer Electronics/Appliances
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,$0.115,0.00,0.00%,0.00,United States,2022,6512,Industrials,Consumer Electronics/Appliances
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,$10.42,0.03,0.289%,112340625.00,United States,2022,85000,Industrials,Consumer Electronics/Appliances
ACACU,Acri Capital Acquisition Corporation Unit,$10.45,0.05,0.481%,0.00,United States,2022,70593,Industrials,Consumer Electronics/Appliances
ACACW,Acri Capital Acquisition Corporation Warrant,$0.0651,-0.0032,-4.685%,0.00,United States,2022,30525,Industrials,Consumer Electronics/Appliances
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$18.92,-0.18,-0.942%,3063734406.00,United States,1985,938281,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,$10.11,0.00,0.00%,435993750.00,United States,2021,180289,Industrials,Consumer Electronics/Appliances
ACAHU,Atlantic Coastal Acquisition Corp. Unit,$10.0101,-0.0801,-0.794%,0.00,United States,2021,14884,Industrials,Consumer Electronics/Appliances
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,$0.08,0.00,0.00%,0.00,United States,2021,686,Industrials,Consumer Electronics/Appliances
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,$10.22,0.02,0.196%,115026100.00,United States,2022,18200,Industrials,Consumer Electronics/Appliances
ACAXR,Alset Capital Acquisition Corp. Right,$0.23,0.0352,18.07%,0.00,United States,2022,165,Industrials,Consumer Electronics/Appliances
ACAXU,Alset Capital Acquisition Corp. Unit,$10.40,0.03,0.289%,0.00,United States,2022,20000,Industrials,Consumer Electronics/Appliances
ACB,Aurora Cannabis Inc. Common Shares,$0.857,-0.013,-1.494%,292226231.00,Canada,,3478254,Health Care,Pharmaceuticals and Biotechnology
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,$10.80,0.00,0.00%,65383200.00,Hong Kong,2021,101481,Consumer Discretionary,Catalog/Specialty Distribution
ACCD,Accolade Inc. Common Stock,$11.12,-0.39,-3.388%,809388627.00,United States,2020,470098,Technology,Interactive Media
ACCO,Acco Brands Corporation Common Stock,$5.39,-0.28,-4.938%,508066391.00,United States,,702181,Consumer Discretionary,Advertising
ACDC,ProFrac Holding Corp. Class A Common Stock,$19.67,0.49,2.555%,1061371445.00,United States,2022,211239,Industrials,Metal Fabrications
ACDCW,ProFrac Holding Corp. Warrant,$0.0298,0.0023,8.364%,0.00,United States,,32715,Industrials,Metal Fabrications
ACEL,Accel Entertainment Inc. ,$9.10,-0.14,-1.515%,795950410.00,United States,2017,136656,Consumer Discretionary,Recreational Games/Products/Toys
ACER,Acer Therapeutics Inc. Common Stock (DE),$2.14,-0.02,-0.926%,45086892.00,United States,,35998,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. Common Stock ,$7.66,-0.42,-5.198%,150058082.00,United States,2018,349730,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,$69.17,0.79,1.155%,25616832612.00,Bermuda,,1181723,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,$19.13,-0.17,-0.881%,0.00,Bermuda,,14173,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,$22.64,-0.17,-0.745%,0.00,Bermuda,,16693,Finance,Property-Casualty Insurers
ACGN,Aceragen Inc. Common Stock,$4.51,-0.51,-10.159%,38159394.00,United States,,16813,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHC,Acadia Healthcare Company Inc. Common Stock,$80.25,-0.24,-0.298%,7300881218.00,United States,,393993,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc American Depositary Shares,$1.12,-0.03,-2.609%,45851415.00,United Kingdom,2021,82966,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,$2.72,-0.14,-4.895%,661761842.00,United States,2020,1234799,Industrials,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,$4.99,-0.08,-1.578%,89306175.00,United States,,91332,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,$20.54,-0.24,-1.155%,11003637039.00,United States,2020,4554895,Consumer Staples,Food Chains
ACIU,AC Immune SA Common Stock,$2.24,-0.12,-5.085%,186846236.00,Switzerland,2016,18406,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,$26.10,-0.05,-0.191%,2932964871.00,United States,,616001,Technology,EDP Services
ACLS,Axcelis Technologies Inc. Common Stock,$123.47,-1.24,-0.994%,4046729250.00,United States,2000,490522,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,$27.80,0.43,1.571%,1315833881.00,United States,2022,386410,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,$87.14,-0.93,-1.056%,12108125831.00,United States,2007,1030296,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,$11.53,-0.07,-0.603%,685577570.00,United States,2017,971204,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),$266.53,-4.70,-1.733%,167844640047.00,Ireland,2001,1734889,Consumer Discretionary,Business Services
ACNB,ACNB Corporation Common Stock,$37.50,-0.30,-0.794%,319317000.00,United States,,5381,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,$10.50,-0.24,-2.235%,107123951.00,United States,,1847,Industrials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,$0.7053,-0.0297,-4.041%,5516515.00,United States,2022,10528,Technology,Retail: Computer Software & Peripheral Equipment
ACONW,Aclarion Inc. Warrant,$0.0783,-0.0323,-29.204%,0.00,United States,2022,17033,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics Inc. Common Stock,$0.927,-0.003,-0.323%,22561154.00,United States,2006,42425,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,abrdn Income Credit Strategies Fund Common Shares,$7.60,-0.46,-5.707%,188612103.00,United States,2011,290527,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,$21.88,-0.10,-0.455%,,United States,,473,,
ACQR,Independence Holdings Corp. Class A Ordinary Share,$10.185,-0.005,-0.049%,631354247.00,United States,2021,20752,Finance,Blank Checks
ACQRW,Independence Holdings Corp. Warrant,$0.0041,-0.0009,-18.00%,0.00,United States,2021,32000,Finance,Blank Checks
ACR,ACRES Commercial Realty Corp. Common Stock,$9.62,-0.19,-1.937%,84257453.00,United States,,7752,Real Estate,Real Estate Investment Trusts
