序号,名称,最新价,涨跌额,涨跌幅,开盘价,最高价,最低价,昨收价,总市值,市盈率,成交量,成交额,振幅,换手率,代码
1,TransCode Therapeutics Inc,2.55,1.89,286.36,1.31,3.2,1.3,0.66,5165469.0,-0.28,97093687.0,196701168.0,287.88,4793.15,105.RNAZ
2,Global Partner Acquisition Corp,0.03,0.02,200.0,0.01,0.04,0.01,0.01,,,93207.0,2410.0,300.0,,105.GPACW
3,Versus Systems Inc Wt,0.02,0.01,100.0,0.01,0.02,0.01,0.01,,,4589.0,68.0,100.0,,105.VSSYW
4,Revelation Biosciences Inc Wt,0.02,0.01,100.0,0.02,0.02,0.02,0.01,,,356715.0,6693.0,0.0,,105.REVBW
5,Marti Technologies Inc Wt,0.04,0.02,100.0,0.04,0.04,0.04,0.02,,,800.0,30.0,0.0,,107.MRT_WS
6,Consilium Acquisition Corp I Lt,0.04,0.02,100.0,0.03,0.04,0.03,0.02,,,418048.0,13722.0,50.0,,105.CSLMW
7,AgriFORCE Growing Systems Ltd W,0.02,0.01,100.0,0.01,0.02,0.01,0.01,,,13246.0,254.0,100.0,,105.AGRIW
8,Vaccitech plc ADR,3.16,1.48,88.1,1.64,4.35,1.64,1.68,121738883.0,-2.22,39485367.0,130781904.0,161.31,102.49,105.VACC
9,Biophytis SA ADR,1.59,0.71,80.68,1.24,2.06,1.04,0.88,8541141.0,-0.33,66625559.0,103502519.0,115.91,1240.29,105.BPTS
10,Gold Royalty Corp Wt,0.09,0.04,80.0,0.08,0.09,0.06,0.05,,,10887.0,771.0,60.0,,107.GROY_WS
11,SeqLL Inc Wt,0.05,0.02,66.67,0.04,0.05,0.04,0.03,,,1600.0,75.0,33.33,,105.SQLLW
12,Reliance Global Group Inc Wt-A,0.1,0.04,66.67,0.09,0.1,0.08,0.06,,,550.0,50.0,33.33,,105.RELIW
13,PepperLime Health Acquisition C,0.09,0.03,50.0,0.19,0.2,0.07,0.06,,,17503.0,1858.0,216.67,,105.PEPLW
14,BTC Digital Ltd Wt,0.03,0.01,50.0,0.02,0.03,0.02,0.02,,,3700.0,91.0,50.0,,105.METXW
